seqnames start end CI.start CI.end genoT filenames
chr2 122610042 122698204 121698745 123079435 ww-wc ERR2268502_.trimmed.mdup.bam.RData.1
chr2 130799200 130865902 129787745 131759286 wc-ww ERR2268502_.trimmed.mdup.bam.RData.2
chr2 146370885 146464390 146204257 146941066 ww-wc ERR2268502_.trimmed.mdup.bam.RData.3
chr5 46115215 47121985 46007519 181309118 ww-wc ERR2268502_.trimmed.mdup.bam.RData.4
chr5 50756201 51266294 40373 51440376 wc-ww ERR2268502_.trimmed.mdup.bam.RData.5
chr6 5664854 5844365 5234920 5950444 wc-cc ERR2268502_.trimmed.mdup.bam.RData.6
chr6 111736100 111868740 111510386 112164168 cc-wc ERR2268502_.trimmed.mdup.bam.RData.7
chr6 124442673 124465666 124248867 125063540 wc-cc ERR2268502_.trimmed.mdup.bam.RData.8
chr6 125403465 125506965 124921344 125826733 cc-wc ERR2268502_.trimmed.mdup.bam.RData.9
chr6 150282302 150420156 150148693 151065732 wc-cc ERR2268502_.trimmed.mdup.bam.RData.10
chr6 151630055 151633563 150976508 151821119 cc-wc ERR2268502_.trimmed.mdup.bam.RData.11
chr7 57532940 57715036 57173493 62534550 ww-wc ERR2268502_.trimmed.mdup.bam.RData.12
chr7 62390279 62595335 59650336 62908841 wc-ww ERR2268502_.trimmed.mdup.bam.RData.13
chr7 65211889 65231720 64639213 66303545 ww-wc ERR2268502_.trimmed.mdup.bam.RData.14
chr8 12545641 12728805 11689904 13208093 ww-wc ERR2268502_.trimmed.mdup.bam.RData.15
chr8 58990608 58994884 58894446 59357722 wc-ww ERR2268502_.trimmed.mdup.bam.RData.16
chr9 94975541 95052216 94601311 95604576 wc-ww ERR2268502_.trimmed.mdup.bam.RData.17
chr9 123363517 123411906 123290600 123823615 ww-wc ERR2268502_.trimmed.mdup.bam.RData.18
chr11 2296767 2468980 1737471 3151690 cc-wc ERR2268502_.trimmed.mdup.bam.RData.19
chr11 97016063 97035935 96212753 97716554 wc-cc ERR2268502_.trimmed.mdup.bam.RData.20
chr11 97875911 97967585 97716455 98132187 cc-wc ERR2268502_.trimmed.mdup.bam.RData.21
chr12 33767590 33853561 33505428 133252007 ww-wc ERR2268502_.trimmed.mdup.bam.RData.22
chr12 36990477 37282075 34717096 37530308 wc-ww ERR2268502_.trimmed.mdup.bam.RData.23
chr13 19182473 19234705 16306446 19884925 wc-cc ERR2268502_.trimmed.mdup.bam.RData.24
chr15 58136758 58297893 57641687 58776618 wc-cc ERR2268502_.trimmed.mdup.bam.RData.25
chr15 59153649 59158381 58297893 59487601 cc-wc ERR2268502_.trimmed.mdup.bam.RData.26
chr18 59092936 59173639 58758921 59745621 ww-wc ERR2268502_.trimmed.mdup.bam.RData.27
chr21 10806261 12978584 10465095 13307796 wc-cc ERR2268502_.trimmed.mdup.bam.RData.28
chr2 15045961 15177188 14663901 15729782 wc-cc ERR2268503_.trimmed.mdup.bam.RData.1
chr2 16064627 16539026 15507590 16715767 cc-wc ERR2268503_.trimmed.mdup.bam.RData.2
chr2 129738292 129971751 129471651 130449603 wc-cc ERR2268503_.trimmed.mdup.bam.RData.3
chr2 131502304 131554546 131060741 131692718 cc-wc ERR2268503_.trimmed.mdup.bam.RData.4
chr3 19110254 19121667 18879143 19912214 wc-cc ERR2268503_.trimmed.mdup.bam.RData.5
chr3 19952076 19991532 19425815 20298689 cc-ww ERR2268503_.trimmed.mdup.bam.RData.6
chr3 20806461 20919700 19984911 21796286 ww-wc ERR2268503_.trimmed.mdup.bam.RData.7
chr3 182121146 182138961 181653860 182280560 wc-cc ERR2268503_.trimmed.mdup.bam.RData.8
chr3 183538204 183947927 182828304 184469510 cc-wc ERR2268503_.trimmed.mdup.bam.RData.9
chr8 7365533 7586142 6865043 8300020 cc-wc ERR2268503_.trimmed.mdup.bam.RData.10
chr8 12570495 12575526 11789678 13041375 wc-cc ERR2268503_.trimmed.mdup.bam.RData.11
chr9 10687927 10733020 10467055 11233543 ww-wc ERR2268503_.trimmed.mdup.bam.RData.12
chr13 33579540 33758186 33055564 33977268 wc-cc ERR2268503_.trimmed.mdup.bam.RData.13
chr14 55784710 55793105 55312844 56380696 wc-ww ERR2268503_.trimmed.mdup.bam.RData.14
chr15 20661408 22788173 17080405 23554625 wc-cc ERR2268503_.trimmed.mdup.bam.RData.15
chr16 34220330 34571573 28585291 34588596 wc-ww ERR2268503_.trimmed.mdup.bam.RData.16
chr16 46400909 46502642 46389742 48379284 ww-cc ERR2268503_.trimmed.mdup.bam.RData.17
chr17 12427177 12469126 11782410 12691623 wc-ww ERR2268503_.trimmed.mdup.bam.RData.18
chr19 24163514 24410412 23853586 58143426 cc-wc ERR2268503_.trimmed.mdup.bam.RData.19
chr19 27370346 27408772 268126 27658908 wc-cc ERR2268503_.trimmed.mdup.bam.RData.20
chr21 10738959 12966268 10432117 14030638 wc-ww ERR2268503_.trimmed.mdup.bam.RData.21
chr22 15626593 15689571 11271206 16658683 wc-ww ERR2268503_.trimmed.mdup.bam.RData.22
chrX 2770358 2807089 2218149 3426216 wc-ww ERR2268503_.trimmed.mdup.bam.RData.23
chr2 129150355 129352574 128486759 131627354 ww-cc ERR2268504_.trimmed.mdup.bam.RData.1
chr2 131291934 131627275 130800974 132954170 cc-wc ERR2268504_.trimmed.mdup.bam.RData.2
chr4 60828591 60945949 55258633 65387376 ww-wc ERR2268504_.trimmed.mdup.bam.RData.3
chr7 157822339 158152443 157198011 159140850 cc-wc ERR2268504_.trimmed.mdup.bam.RData.4
chr8 50808192 50999333 49874764 52449374 cc-wc ERR2268504_.trimmed.mdup.bam.RData.5
chr8 137010031 137368147 135859685 137869192 wc-ww ERR2268504_.trimmed.mdup.bam.RData.6
chr11 132127132 132385992 131703393 135021256 wc-cc ERR2268504_.trimmed.mdup.bam.RData.7
chr11 133847583 134073166 127153465 134492884 cc-wc ERR2268504_.trimmed.mdup.bam.RData.8
chr18 20135145 22546655 14825901 23266971 ww-wc ERR2268504_.trimmed.mdup.bam.RData.9
chr18 74326607 75975383 69651097 77635534 wc-ww ERR2268504_.trimmed.mdup.bam.RData.10
chrY 10053731 12421864 5356275 14543404 wc-ww ERR2268504_.trimmed.mdup.bam.RData.11
chr1 93681051 93758783 93362079 94505509 ww-wc ERR2268505_.trimmed.mdup.bam.RData.1
chr1 207586345 207747891 207286581 208108456 wc-ww ERR2268505_.trimmed.mdup.bam.RData.2
chr1 208887982 208921460 208108370 209199702 ww-wc ERR2268505_.trimmed.mdup.bam.RData.3
