Chromosome	start	end	transition	aneuploidy	index	callType
chr1	19995425	19999392	WC->CC	2	ERR2265692.mdup	filt-walker
chr1	116992501	116993370	CC->WC	2	ERR2265692.mdup	filt-walker
chr1	200945982	200949760	WC->WW	2	ERR2265692.mdup	filt-walker
chr2	124801825	124825255	WW->WC	2	ERR2265692.mdup	filt-walker
chr2	219576663	219582335	WC->WW	2	ERR2265692.mdup	filt-walker
chr3	41121092	41126442	WC->WW	2	ERR2265692.mdup	filt-walker
chr3	116237793	116240381	WW->WC	2	ERR2265692.mdup	filt-walker
chr4	21908468	21923923	WC->WW	2	ERR2265692.mdup	filt-walker
chr5	99657364	99680097	WW->WC	2	ERR2265692.mdup	filt-walker
chr7	125436617	125438150	WC->WW	2	ERR2265692.mdup	filt-walker
chr7	143384708	143387350	WW->WC	2	ERR2265692.mdup	filt-walker
chr8	52427372	52428957	WC->CC	2	ERR2265692.mdup	filt-walker
chr9	75518995	75552015	WC->CC	2	ERR2265692.mdup	filt-walker
chr9	78469599	78495985	CC->WC	2	ERR2265692.mdup	filt-walker
chr17	68192327	68237382	WW->WC	2	ERR2265692.mdup	filt-walker
chr18	20921287	20934029	WC->CC	2	ERR2265692.mdup	filt-walker
chr18	43868231	43877888	CC->WC	2	ERR2265692.mdup	filt-walker
chr20	18398621	18413472	CC->WC	2	ERR2265692.mdup	filt-walker
chrX	30455555	30522355	WC->WW	2	ERR2265692.mdup	filt-walker
chr1	168317524	168318344	WC->WW	2	ERR2265693.mdup	filt-walker
chr1	173682370	173692890	WW->WC	2	ERR2265693.mdup	filt-walker
chr3	48582665	48598370	WC->WW	2	ERR2265693.mdup	filt-walker
chr3	65278466	65281765	WW->WC	2	ERR2265693.mdup	filt-walker
chr4	51107417	51208686	WC->WW	2	ERR2265693.mdup	filt-walker
chr8	37092420	37129376	WW->WC	2	ERR2265693.mdup	filt-walker
chr9	40722771	40846035	CC->WC	2	ERR2265693.mdup	filt-walker
chr10	102160168	102162091	WW->WC	2	ERR2265693.mdup	filt-walker
