seqnames start end CI.start CI.end genoT filenames
chr1 173539973 173705895 173373969 185433132 wc-cc ERR2268502_.trimmed.mdup.bam.RData.1
chr1 174082371 174101472 857037 174618758 cc-wc ERR2268502_.trimmed.mdup.bam.RData.2
chr1 182864369 182944156 182739980 183227336 wc-cc ERR2268502_.trimmed.mdup.bam.RData.3
chr1 183392272 183454536 182864284 183705727 cc-ww ERR2268502_.trimmed.mdup.bam.RData.4
chr1 183795853 183796775 46369130 184457464 ww-wc ERR2268502_.trimmed.mdup.bam.RData.5
chr2 88853771 88870481 57043323 92333185 ww-wc ERR2268502_.trimmed.mdup.bam.RData.6
chr2 196733844 196955444 196356827 241800872 wc-ww ERR2268502_.trimmed.mdup.bam.RData.7
chr2 197295201 197296373 140259084 197808994 ww-wc ERR2268502_.trimmed.mdup.bam.RData.8
chr6 5664854 5672498 5234920 5941856 wc-cc ERR2268502_.trimmed.mdup.bam.RData.9
chr6 113418272 113421036 111329982 113605319 cc-wc ERR2268502_.trimmed.mdup.bam.RData.10
chr6 124442673 124447085 124248867 125048234 wc-cc ERR2268502_.trimmed.mdup.bam.RData.11
chr6 125403465 125506965 124921344 125826733 cc-wc ERR2268502_.trimmed.mdup.bam.RData.12
chr6 142986605 143097331 142690635 143252075 wc-ww ERR2268502_.trimmed.mdup.bam.RData.13
chr6 143350848 143359767 143203500 143670802 ww-wc ERR2268502_.trimmed.mdup.bam.RData.14
chr6 150477004 150527305 150148693 150855431 wc-cc ERR2268502_.trimmed.mdup.bam.RData.15
chr6 151630055 151633563 150976508 151821119 cc-wc ERR2268502_.trimmed.mdup.bam.RData.16
chr6 163973040 163995010 163743924 164585711 wc-cc ERR2268502_.trimmed.mdup.bam.RData.17
chr6 164949325 164990771 164533951 165148999 cc-wc ERR2268502_.trimmed.mdup.bam.RData.18
chr7 87412859 87436201 55980445 88388462 ww-wc ERR2268502_.trimmed.mdup.bam.RData.19
chr8 1835680 1967694 1598267 9236798 wc-ww ERR2268502_.trimmed.mdup.bam.RData.20
chr8 2553747 2564611 240261 3060821 ww-wc ERR2268502_.trimmed.mdup.bam.RData.21
chr8 7512615 8181499 6879121 8376579 wc-ww ERR2268502_.trimmed.mdup.bam.RData.22
chr8 12387991 12612031 11652829 12828374 ww-wc ERR2268502_.trimmed.mdup.bam.RData.23
chr8 28011500 28018907 27751592 28332409 wc-ww ERR2268502_.trimmed.mdup.bam.RData.24
chr8 28941955 29274998 28069132 29519957 ww-wc ERR2268502_.trimmed.mdup.bam.RData.25
chr8 49498368 49503575 49014032 145068131 wc-cc ERR2268502_.trimmed.mdup.bam.RData.26
chr8 49883691 49900472 40097620 50176621 cc-wc ERR2268502_.trimmed.mdup.bam.RData.27
chr8 52984256 53058563 52764977 53149463 wc-cc ERR2268502_.trimmed.mdup.bam.RData.28
chr8 54097500 54126511 53837281 54295119 cc-wc ERR2268502_.trimmed.mdup.bam.RData.29
chr8 57795077 57840532 57574301 58742029 wc-cc ERR2268502_.trimmed.mdup.bam.RData.30
chr8 58990608 58994884 58894446 60380469 cc-ww ERR2268502_.trimmed.mdup.bam.RData.31
chr9 1354975 1399319 1169275 1757238 wc-cc ERR2268502_.trimmed.mdup.bam.RData.32
chr9 1901871 1905363 1789165 2325745 cc-wc ERR2268502_.trimmed.mdup.bam.RData.33
chr9 14330748 14437551 13879880 109181160 wc-ww ERR2268502_.trimmed.mdup.bam.RData.34
chr9 14840640 14846322 270500 15240500 ww-wc ERR2268502_.trimmed.mdup.bam.RData.35
chr9 26583632 26593688 26311704 26755514 wc-ww ERR2268502_.trimmed.mdup.bam.RData.36
chr9 26862292 26988373 270500 27305193 ww-wc ERR2268502_.trimmed.mdup.bam.RData.37
chr9 87876753 87904110 86859496 98623050 wc-ww ERR2268502_.trimmed.mdup.bam.RData.38
chr10 21146595 21431801 20544474 22553583 wc-ww ERR2268502_.trimmed.mdup.bam.RData.39
chr10 22511345 22583288 18529082 22687444 ww-wc ERR2268502_.trimmed.mdup.bam.RData.40
chr11 2296767 2375686 1737471 3151690 cc-wc ERR2268502_.trimmed.mdup.bam.RData.41
chr11 112106869 112224085 111686009 135051755 wc-ww ERR2268502_.trimmed.mdup.bam.RData.42
chr11 112573522 112616848 214141 112811487 ww-wc ERR2268502_.trimmed.mdup.bam.RData.43
chr13 18433629 18804874 17311980 19098671 wc-cc ERR2268502_.trimmed.mdup.bam.RData.44
chr15 57598375 57608747 57485265 57872511 wc-ww ERR2268502_.trimmed.mdup.bam.RData.45
chr15 57872511 57943536 57665021 58456697 ww-wc ERR2268502_.trimmed.mdup.bam.RData.46
chr16 77637414 77641698 77265476 78631246 wc-ww ERR2268502_.trimmed.mdup.bam.RData.47
chr16 79200423 79263142 78515580 79537249 ww-wc ERR2268502_.trimmed.mdup.bam.RData.48
chr18 59092936 59173639 58758921 59745621 ww-wc ERR2268502_.trimmed.mdup.bam.RData.49
chr18 71123708 71162306 70680522 71320111 wc-cc ERR2268502_.trimmed.mdup.bam.RData.50
chr18 71562536 71677710 71272734 72009184 cc-wc ERR2268502_.trimmed.mdup.bam.RData.51
chr21 10806261 12978584 10465095 13307796 wc-cc ERR2268502_.trimmed.mdup.bam.RData.52
chr2 4064453 4109779 3917139 4308770 wc-ww ERR2268503_.trimmed.mdup.bam.RData.1
chr2 4802721 4823922 4286269 5110930 ww-wc ERR2268503_.trimmed.mdup.bam.RData.2
chr2 129738292 129971751 129471651 130449603 wc-cc ERR2268503_.trimmed.mdup.bam.RData.3
chr2 131502304 131554546 131060741 131692718 cc-wc ERR2268503_.trimmed.mdup.bam.RData.4
chr7 14665262 15048241 5588805 15189635 cc-wc ERR2268503_.trimmed.mdup.bam.RData.5
chr7 110397845 110467872 110261251 110628913 wc-ww ERR2268503_.trimmed.mdup.bam.RData.6
chr7 110724138 110745893 110548777 111169882 ww-wc ERR2268503_.trimmed.mdup.bam.RData.7
chr8 7365533 7586142 6865043 8300020 cc-wc ERR2268503_.trimmed.mdup.bam.RData.8
chr8 12570495 12582197 11789678 13056213 wc-cc ERR2268503_.trimmed.mdup.bam.RData.9
chr9 10606135 10733020 10446308 11233543 ww-wc ERR2268503_.trimmed.mdup.bam.RData.10
chr10 104099781 104190540 103678737 104602229 wc-ww ERR2268503_.trimmed.mdup.bam.RData.11
chr10 104605629 104799341 104535295 105046019 ww-wc ERR2268503_.trimmed.mdup.bam.RData.12
chr12 79420048 79494142 78941956 82121394 wc-cc ERR2268503_.trimmed.mdup.bam.RData.13
chr12 83627834 83663630 82363543 84285951 cc-wc ERR2268503_.trimmed.mdup.bam.RData.14
chr14 52534536 52608364 52145560 52965096 wc-ww ERR2268503_.trimmed.mdup.bam.RData.15
chr15 20661408 22232704 17080405 23423454 wc-cc ERR2268503_.trimmed.mdup.bam.RData.16
chr16 17073800 17092954 15886079 24548137 wc-cc ERR2268503_.trimmed.mdup.bam.RData.17
chr16 34220330 34571573 28585291 35865797 cc-ww ERR2268503_.trimmed.mdup.bam.RData.18
chr16 46400909 46502642 46389742 48379284 ww-cc ERR2268503_.trimmed.mdup.bam.RData.19
chr17 12097690 12104979 11782410 12691623 wc-ww ERR2268503_.trimmed.mdup.bam.RData.20
chr21 10738959 10753741 10432117 13931505 wc-ww ERR2268503_.trimmed.mdup.bam.RData.21
chr22 12435072 15689571 11271206 16658683 wc-ww ERR2268503_.trimmed.mdup.bam.RData.22
chrX 2770358 2807089 2218149 3426216 wc-ww ERR2268503_.trimmed.mdup.bam.RData.23
chr2 129150355 129352574 128486759 131627354 ww-cc ERR2268504_.trimmed.mdup.bam.RData.1
chr2 131291934 131627275 130800974 132954170 cc-wc ERR2268504_.trimmed.mdup.bam.RData.2
chr4 60828591 60945949 55258633 65387376 ww-wc ERR2268504_.trimmed.mdup.bam.RData.3
chr7 157822339 158152443 157198011 159140850 cc-wc ERR2268504_.trimmed.mdup.bam.RData.4
chr8 50808192 50999333 49874764 52449374 cc-wc ERR2268504_.trimmed.mdup.bam.RData.5
chr8 137010031 137368147 135859685 137869192 wc-ww ERR2268504_.trimmed.mdup.bam.RData.6
chr11 132127132 132385992 131703393 135021256 wc-cc ERR2268504_.trimmed.mdup.bam.RData.7
chr11 133847583 134073166 127153465 134492884 cc-wc ERR2268504_.trimmed.mdup.bam.RData.8
chr18 20135145 22546655 14825901 23266971 ww-wc ERR2268504_.trimmed.mdup.bam.RData.9
chr18 74326607 75975383 69651097 77635534 wc-ww ERR2268504_.trimmed.mdup.bam.RData.10
chrY 10053731 12421864 5356275 14543404 wc-ww ERR2268504_.trimmed.mdup.bam.RData.11
chr1 108203246 108477634 91792232 108519253 ww-wc ERR2268505_.trimmed.mdup.bam.RData.1
chr8 18887569 18898343 14189685 19342669 ww-wc ERR2268505_.trimmed.mdup.bam.RData.2
chr9 40545700 40921923 38716698 61533444 ww-wc ERR2268505_.trimmed.mdup.bam.RData.3
chr9 63885346 65555204 61684566 68662782 wc-ww ERR2268505_.trimmed.mdup.bam.RData.4
chr10 34627673 34676601 34436915 133586401 wc-ww ERR2268505_.trimmed.mdup.bam.RData.5
chr10 35556470 35611646 34691643 35833443 ww-cc ERR2268505_.trimmed.mdup.bam.RData.6
chr10 35976505 36050795 35621646 36646871 cc-wc ERR2268505_.trimmed.mdup.bam.RData.7
chr11 76529947 76533523 76236802 76677020 ww-wc ERR2268505_.trimmed.mdup.bam.RData.8
chr11 82414315 82485081 81950199 82675306 wc-ww ERR2268505_.trimmed.mdup.bam.RData.9
chr11 82879395 82900951 82587934 83488894 ww-wc ERR2268505_.trimmed.mdup.bam.RData.10
chr16 8519298 8528729 8286088 9484135 wc-cc ERR2268505_.trimmed.mdup.bam.RData.11
chr16 9484135 9639358 8789459 9965595 cc-wc ERR2268505_.trimmed.mdup.bam.RData.12
chr16 22424375 22549606 21913488 51416538 wc-ww ERR2268505_.trimmed.mdup.bam.RData.13
chr16 22827131 22837583 22625630 23453227 ww-wc ERR2268505_.trimmed.mdup.bam.RData.14
chr16 46390791 46400819 46387046 46979099 wc-ww ERR2268505_.trimmed.mdup.bam.RData.15
chr22 11934655 12435901 11288675 16449614 cc-ww ERR2268505_.trimmed.mdup.bam.RData.16
chr1 65942221 66036480 65607095 66488932 wc-ww ERR2268506_.trimmed.mdup.bam.RData.1
chr1 67822490 67949631 66127219 68197712 ww-wc ERR2268506_.trimmed.mdup.bam.RData.2
chr1 118697602 118798170 117821798 248878526 wc-ww ERR2268506_.trimmed.mdup.bam.RData.3
chr1 119431123 119649695 119163086 122544894 ww-wc ERR2268506_.trimmed.mdup.bam.RData.4
chr1 210921600 210932066 210449802 248878526 wc-cc ERR2268506_.trimmed.mdup.bam.RData.5
chr1 211955355 212055720 948141 213602465 cc-wc ERR2268506_.trimmed.mdup.bam.RData.6
chr2 78763293 78812222 78136225 79509562 cc-wc ERR2268506_.trimmed.mdup.bam.RData.7
chr2 108050616 108091761 107824036 108924540 wc-ww ERR2268506_.trimmed.mdup.bam.RData.8
chr3 190924055 191621856 190520021 192191460 ww-wc ERR2268506_.trimmed.mdup.bam.RData.9
chr4 22442837 22777971 22024501 23288088 wc-ww ERR2268506_.trimmed.mdup.bam.RData.10
chr4 23407451 23447889 22884327 23953407 ww-wc ERR2268506_.trimmed.mdup.bam.RData.11
chr4 118999452 119080228 118673585 119644321 wc-cc ERR2268506_.trimmed.mdup.bam.RData.12
chr4 119735222 119900458 119294563 120570455 cc-wc ERR2268506_.trimmed.mdup.bam.RData.13
chr4 172308527 172503050 171755876 172804403 wc-cc ERR2268506_.trimmed.mdup.bam.RData.14
chr8 8024047 8331156 6797265 8858257 wc-ww ERR2268506_.trimmed.mdup.bam.RData.15
chr8 12132283 12634451 11749495 13550208 ww-wc ERR2268506_.trimmed.mdup.bam.RData.16
chr9 28387526 28454477 27980577 28923778 wc-cc ERR2268506_.trimmed.mdup.bam.RData.17
chr9 29672293 29683495 28592345 30020185 cc-wc ERR2268506_.trimmed.mdup.bam.RData.18
chr9 121852550 122003179 121511732 122380433 wc-cc ERR2268506_.trimmed.mdup.bam.RData.19
