seqnames start end CI.start CI.end genoT filenames
chr2 60890318 61183835 60607309 62371064 ww-wc ERR2268502_.trimmed.mdup.bam.RData.1
chr2 131179133 131316239 129787745 132156547 wc-ww ERR2268502_.trimmed.mdup.bam.RData.2
chr2 146454409 146464390 146245863 146941066 ww-wc ERR2268502_.trimmed.mdup.bam.RData.3
chr6 6707255 6742867 4277014 6860144 wc-cc ERR2268502_.trimmed.mdup.bam.RData.4
chr6 111749412 111868740 111528530 112164168 cc-wc ERR2268502_.trimmed.mdup.bam.RData.5
chr7 64891134 65231720 64554842 66303545 ww-wc ERR2268502_.trimmed.mdup.bam.RData.6
chr8 58990608 59112718 58894446 59447980 wc-ww ERR2268502_.trimmed.mdup.bam.RData.7
chr9 94975541 95052216 94601311 95604576 wc-ww ERR2268502_.trimmed.mdup.bam.RData.8
chr9 123395859 123594655 123328461 123823615 ww-wc ERR2268502_.trimmed.mdup.bam.RData.9
chr18 59049106 59173639 58714410 59745621 ww-wc ERR2268502_.trimmed.mdup.bam.RData.10
chr7 9357747 9556295 6535168 9757845 cc-wc ERR2268503_.trimmed.mdup.bam.RData.1
chr9 10570660 10733020 10431825 11233543 ww-wc ERR2268503_.trimmed.mdup.bam.RData.2
chr13 33579540 33640195 33055564 33906103 wc-cc ERR2268503_.trimmed.mdup.bam.RData.3
chr14 56042421 56172730 55312844 56387189 wc-ww ERR2268503_.trimmed.mdup.bam.RData.4
chr17 12097690 12104979 11782410 12691623 wc-ww ERR2268503_.trimmed.mdup.bam.RData.5
chr2 107228894 108562578 106355996 109320767 ww-wc ERR2268504_.trimmed.mdup.bam.RData.1
chr4 57584144 57849871 56720711 59137898 ww-wc ERR2268504_.trimmed.mdup.bam.RData.2
chr8 50328586 50999333 49738526 52449374 cc-wc ERR2268504_.trimmed.mdup.bam.RData.3
chr18 32681868 32763279 10481495 32868629 ww-wc ERR2268504_.trimmed.mdup.bam.RData.4
chr1 93362162 93758783 92997520 94505509 ww-wc ERR2268505_.trimmed.mdup.bam.RData.1
chr5 37641172 38678881 37058732 39466707 cc-wc ERR2268505_.trimmed.mdup.bam.RData.2
chr5 49942335 50310142 46407140 50767476 wc-cc ERR2268505_.trimmed.mdup.bam.RData.3
chr8 14455113 14787242 14189685 15200843 ww-wc ERR2268505_.trimmed.mdup.bam.RData.4
chr11 76529947 76533523 76236802 76677020 ww-wc ERR2268505_.trimmed.mdup.bam.RData.5
chr2 78763293 78812222 75229337 79509562 cc-ww ERR2268506_.trimmed.mdup.bam.RData.1
chr4 172308527 172532325 171755876 172811782 wc-cc ERR2268506_.trimmed.mdup.bam.RData.2
chr12 16555749 16790178 7072826 17240862 wc-cc ERR2268506_.trimmed.mdup.bam.RData.3
chr1 200336242 201376910 199109216 202595978 wc-ww ERR2268507_.trimmed.mdup.bam.RData.1
chr14 60525397 61005702 57372266 61778506 ww-wc ERR2268507_.trimmed.mdup.bam.RData.2
chr1 41162638 41421010 40681220 41710140 cc-wc ERR2268508_.trimmed.mdup.bam.RData.1
chr3 177283004 177296776 176664588 177808338 wc-ww ERR2268508_.trimmed.mdup.bam.RData.2
chr6 56335612 56726837 56180464 57457155 wc-ww ERR2268508_.trimmed.mdup.bam.RData.3
chr10 95961447 95995614 95511034 96287675 wc-ww ERR2268508_.trimmed.mdup.bam.RData.4
chr1 115036403 119432034 114685567 149882670 ww-wc ERR2268509_.trimmed.mdup.bam.RData.1
chr1 149011123 156180129 146023148 156648527 wc-ww ERR2268509_.trimmed.mdup.bam.RData.2
chr2 35343878 35920302 34670173 36445399 cc-wc ERR2268509_.trimmed.mdup.bam.RData.3
chr2 219966239 220301623 218782326 220597700 wc-ww ERR2268509_.trimmed.mdup.bam.RData.4
chr3 186327097 186375804 185915774 191322094 wc-ww ERR2268509_.trimmed.mdup.bam.RData.5
chr5 84539150 84725359 82864966 85037898 wc-ww ERR2268509_.trimmed.mdup.bam.RData.6
chr13 66177136 67439199 63344048 69259156 wc-ww ERR2268510_.trimmed.mdup.bam.RData.1
chr15 53239320 53355384 48717690 56122339 wc-cc ERR2268510_.trimmed.mdup.bam.RData.2
chr2 89838130 91951074 85444989 94978092 wc-cc ERR2268511_.trimmed.mdup.bam.RData.1
chr3 138146126 138388195 137121532 138826500 ww-wc ERR2268511_.trimmed.mdup.bam.RData.2
chr6 69491026 70344907 68951901 71491077 cc-wc ERR2268511_.trimmed.mdup.bam.RData.3
chr9 116059335 116091924 115222238 116356228 wc-cc ERR2268511_.trimmed.mdup.bam.RData.4
chr12 113694574 114138160 112938361 117007928 ww-wc ERR2268511_.trimmed.mdup.bam.RData.5
chr5 113592052 113622891 113070075 116685165 ww-wc ERR2268512_.trimmed.mdup.bam.RData.1
chr12 20321133 20638557 19926834 21543839 wc-cc ERR2268512_.trimmed.mdup.bam.RData.2
chr18 21216513 21285839 15384778 22000391 cc-wc ERR2268512_.trimmed.mdup.bam.RData.3
chr20 38560734 38585492 38275093 39160635 ww-wc ERR2268512_.trimmed.mdup.bam.RData.4
chr9 21121519 21148971 9286710 21505378 ww-wc ERR2268513_.trimmed.mdup.bam.RData
chr1 122861220 124815651 119767209 149845363 cc-wc ERR2268514_.trimmed.mdup.bam.RData.1
chr4 100865913 101240785 100387151 102890469 cc-wc ERR2268514_.trimmed.mdup.bam.RData.2
chr7 24472488 24555564 21534651 25914493 wc-ww ERR2268514_.trimmed.mdup.bam.RData.3
chr1 77877071 78117888 77363118 79002623 wc-cc ERR2268515_.trimmed.mdup.bam.RData.1
chr3 35307394 35328509 34320661 36249205 wc-ww ERR2268515_.trimmed.mdup.bam.RData.2
chr1 9350227 9395271 4377765 9885142 ww-wc ERR2268516_.trimmed.mdup.bam.RData.1
chr2 183777467 183981925 182386250 184888443 wc-cc ERR2268516_.trimmed.mdup.bam.RData.2
chr6 92640682 95275807 91479370 95600428 cc-wc ERR2268516_.trimmed.mdup.bam.RData.3
chr8 57095124 57157727 56729879 57594398 cc-wc ERR2268516_.trimmed.mdup.bam.RData.4
chr14 95508811 95509545 95364584 100310217 cc-wc ERR2268516_.trimmed.mdup.bam.RData.5
chr19 17440763 17577693 6544711 18100667 wc-ww ERR2268516_.trimmed.mdup.bam.RData.6
chr1 206741041 206911793 206512971 207083690 wc-ww ERR2268517_.trimmed.mdup.bam.RData.1
chr1 238119405 238258998 237966830 238523062 ww-wc ERR2268517_.trimmed.mdup.bam.RData.2
chr3 172159167 172169721 171890630 172774876 ww-wc ERR2268517_.trimmed.mdup.bam.RData.3
chr6 164767072 164777009 164607401 166015420 wc-ww ERR2268517_.trimmed.mdup.bam.RData.4
chr8 57901832 58231125 57667708 59288883 cc-wc ERR2268517_.trimmed.mdup.bam.RData.5
chr9 99757936 100194811 99561894 100369400 cc-wc ERR2268517_.trimmed.mdup.bam.RData.6
chrX 17583829 17606754 14393768 21168320 cc-ww ERR2268517_.trimmed.mdup.bam.RData.7
chr1 81726420 81907781 81284061 82562449 wc-ww ERR2268518_.trimmed.mdup.bam.RData.1
chr5 159279219 159312861 156698207 159782413 wc-ww ERR2268518_.trimmed.mdup.bam.RData.2
chr8 83566991 83792532 83196730 85003642 wc-ww ERR2268518_.trimmed.mdup.bam.RData.3
chr1 234913930 235331055 234588077 235770626 wc-ww ERR2268519_.trimmed.mdup.bam.RData.1
chr2 28442259 29492190 28039267 29661551 ww-wc ERR2268519_.trimmed.mdup.bam.RData.2
chr2 168256683 168449693 167934083 168948508 wc-ww ERR2268519_.trimmed.mdup.bam.RData.3
chr4 107639123 108213415 107488135 108500876 wc-ww ERR2268519_.trimmed.mdup.bam.RData.4
