Chromosome	start	end	transition	aneuploidy	index	callType
chr1	19995425	19999392	WC->CC	2	ERR2265692.mdup	filt-walker
chr1	116992501	116993370	CC->WC	2	ERR2265692.mdup	filt-walker
chr1	200945982	200949760	WC->WW	2	ERR2265692.mdup	filt-walker
chr2	11354889	11356786	WC->WW	2	ERR2265692.mdup	filt-walker
chr2	124801825	124825255	WW->WC	2	ERR2265692.mdup	filt-walker
chr2	219576663	219582335	WC->WW	2	ERR2265692.mdup	filt-walker
chr3	41121092	41126442	WC->WW	2	ERR2265692.mdup	filt-walker
chr3	116237793	116240381	WW->WC	2	ERR2265692.mdup	filt-walker
chr4	8441009	8473708	WC->CC	2	ERR2265692.mdup	filt-walker
chr4	12117842	12133617	CC->WC	2	ERR2265692.mdup	filt-walker
chr4	21908468	21923923	WC->WW	2	ERR2265692.mdup	filt-walker
chr5	99644957	99657364	WW->WC	2	ERR2265692.mdup	filt-walker
chr7	125436617	125438150	WC->WW	2	ERR2265692.mdup	filt-walker
chr7	143384708	143387350	WW->WC	2	ERR2265692.mdup	filt-walker
chr8	7145618	7173767	WC->CC	2	ERR2265692.mdup	filt-walker
chr8	12524813	12540857	CC->WC	2	ERR2265692.mdup	filt-walker
chr8	52427372	52428957	WC->CC	2	ERR2265692.mdup	filt-walker
chr9	75518995	75552015	WC->CC	2	ERR2265692.mdup	filt-walker
chr9	78469599	78495985	CC->WC	2	ERR2265692.mdup	filt-walker
chr9	116393711	116407288	WC->WW	2	ERR2265692.mdup	filt-walker
chr10	117872330	117874393	WW->WC	2	ERR2265692.mdup	filt-walker
chr10	123622753	123624354	WC->CC	2	ERR2265692.mdup	filt-walker
chr14	62745736	62749095	CC->WC	2	ERR2265692.mdup	filt-walker
chr14	95786631	95786724	WC->CC	2	ERR2265692.mdup	filt-walker
chr15	89357741	89358367	CC->WC	2	ERR2265692.mdup	filt-walker
chr17	16722948	16759594	WW->WC	2	ERR2265692.mdup	filt-walker
chr17	18760000	18960000	WC->WW	2	ERR2265692.mdup	filt-200k
