seqnames start end CI.start CI.end genoT filenames
chr14 58247367 58773701 54541126 58938598 wc-ww ERR2268503_.trimmed.mdup.bam.RData
chr2 106356085 107684181 106088653 109170353 ww-wc ERR2268504_.trimmed.mdup.bam.RData
chr11 76529947 76533523 76236802 76677020 ww-wc ERR2268505_.trimmed.mdup.bam.RData
chr1 53869819 53888434 53312957 54756744 cc-wc ERR2268508_.trimmed.mdup.bam.RData.1
chr3 130647610 130674432 123365716 131395188 wc-ww ERR2268508_.trimmed.mdup.bam.RData.2
chr2 49654383 49679910 30408940 49856337 cc-wc ERR2268509_.trimmed.mdup.bam.RData
chr2 89838130 89850525 85444989 94778858 wc-cc ERR2268511_.trimmed.mdup.bam.RData.1
chr3 120390614 120448666 119665873 149962193 ww-wc ERR2268511_.trimmed.mdup.bam.RData.2
chr6 93965793 94272362 82347892 95286443 cc-wc ERR2268511_.trimmed.mdup.bam.RData.3
chr1 124200801 124287353 120989517 149845363 cc-wc ERR2268514_.trimmed.mdup.bam.RData
chr1 87833333 87997181 70220160 88658671 wc-cc ERR2268515_.trimmed.mdup.bam.RData
chr6 94296392 95275807 91567078 95600428 cc-wc ERR2268516_.trimmed.mdup.bam.RData.1
chr8 65352860 65489346 55003079 68278835 cc-wc ERR2268516_.trimmed.mdup.bam.RData.2
chr3 165012192 165062690 164670336 177347400 ww-wc ERR2268517_.trimmed.mdup.bam.RData
chr1 84624071 84994325 80303074 85864440 wc-ww ERR2268518_.trimmed.mdup.bam.RData
chr4 107639123 108032281 107488135 108419720 wc-ww ERR2268519_.trimmed.mdup.bam.RData.1
chr7 76551890 78004487 75627210 78950104 cc-wc ERR2268519_.trimmed.mdup.bam.RData.2
chr8 74903843 75081936 74407538 77714685 wc-ww ERR2268519_.trimmed.mdup.bam.RData.3
chr11 65120531 65302178 65010749 66326367 ww-wc ERR2268520_.trimmed.mdup.bam.RData
chr5 99155887 102753844 97165715 102964539 wc-ww ERR2268521_.trimmed.mdup.bam.RData
chr3 152951408 153149117 152769642 181576739 wc-cc ERR2268523_.trimmed.mdup.bam.RData
chr2 199627163 199766621 199457775 216354236 cc-wc ERR2268524_.trimmed.mdup.bam.RData
chr3 39240135 39277092 17325714 39664325 wc-cc ERR2268526_.trimmed.mdup.bam.RData.1
chr14 60440407 60468158 59395386 78893865 wc-cc ERR2268526_.trimmed.mdup.bam.RData.2
chr2 117509960 117534870 116439895 117708938 cc-wc ERR2268527_.trimmed.mdup.bam.RData.1
chr8 81039185 81108148 80185248 116117538 wc-cc ERR2268527_.trimmed.mdup.bam.RData.2
chr3 125970444 126220137 124781579 158991211 wc-ww ERR2268528_.trimmed.mdup.bam.RData.1
chr6 96036771 96048899 94782876 103554153 wc-ww ERR2268528_.trimmed.mdup.bam.RData.2
chr3 100880386 102399098 100554567 103384234 ww-wc ERR2268529_.trimmed.mdup.bam.RData
chr7 89542584 89623474 89229682 89858460 wc-cc ERR2268534_.trimmed.mdup.bam.RData.1
chr7 90313014 90336631 449709 91794954 cc-wc ERR2268534_.trimmed.mdup.bam.RData.2
chr1 93386613 118081382 92412856 149497707 ww-wc ERR2268539_.trimmed.mdup.bam.RData.1
chr1 148367037 152223499 146267569 152627658 wc-ww ERR2268539_.trimmed.mdup.bam.RData.2
chr8 73279383 73431868 72855132 92545467 ww-wc ERR2268540_.trimmed.mdup.bam.RData
chr1 113999730 122506961 113074361 123041235 ww-wc ERR2268541_.trimmed.mdup.bam.RData.1
chr1 154936862 159935520 145895111 160924301 wc-ww ERR2268541_.trimmed.mdup.bam.RData.2
chr6 77638281 77649287 55442875 77912343 ww-wc ERR2268542_.trimmed.mdup.bam.RData
chr1 65375930 65393827 37775456 65944590 ww-wc ERR2268546_.trimmed.mdup.bam.RData
chr2 62558447 62567728 36428965 62962507 cc-wc ERR2268547_.trimmed.mdup.bam.RData
chr7 70650937 70859591 69878977 71771569 wc-ww ERR2268548_.trimmed.mdup.bam.RData
chr5 77738388 78753917 76649148 79361593 wc-cc ERR2268549_.trimmed.mdup.bam.RData.1
chr12 65780034 65892375 41788014 66502550 wc-ww ERR2268549_.trimmed.mdup.bam.RData.2
chr3 79719021 80516107 77079539 80982163 ww-wc ERR2268550_.trimmed.mdup.bam.RData
chr7 125254672 125275275 125004178 144047755 wc-cc ERR2268551_.trimmed.mdup.bam.RData
chr9 64047590 68514262 61610241 68807149 wc-cc ERR2268553_.trimmed.mdup.bam.RData
