seqnames start end CI.start CI.end genoT filenames
chr1 183795853 183855608 183705629 184286922 wc-cc ERR2268502_.trimmed.mdup.bam.RData.1
chr1 186537391 186545594 186146472 186852748 cc-wc ERR2268502_.trimmed.mdup.bam.RData.2
chr1 188372209 188378000 188164105 188673778 wc-cc ERR2268502_.trimmed.mdup.bam.RData.3
chr1 190832751 190848794 189152288 191215186 cc-wc ERR2268502_.trimmed.mdup.bam.RData.4
chr2 61143900 61183835 60744835 62371064 ww-wc ERR2268502_.trimmed.mdup.bam.RData.5
chr2 130799200 130834999 129787745 131070492 wc-ww ERR2268502_.trimmed.mdup.bam.RData.6
chr2 146370885 146617673 146204257 147055821 ww-wc ERR2268502_.trimmed.mdup.bam.RData.7
chr3 90582787 90799120 89281420 93736410 cc-ww ERR2268502_.trimmed.mdup.bam.RData.8
chr3 93470810 93888696 93470547 95558372 ww-cc ERR2268502_.trimmed.mdup.bam.RData.9
chr4 3492019 3783105 3157113 4221801 wc-cc ERR2268502_.trimmed.mdup.bam.RData.10
chr4 8072217 8106770 7820286 8310665 cc-wc ERR2268502_.trimmed.mdup.bam.RData.11
chr6 5321870 5871291 5234920 6007218 wc-cc ERR2268502_.trimmed.mdup.bam.RData.12
chr6 111736100 111868740 111510386 112164168 cc-wc ERR2268502_.trimmed.mdup.bam.RData.13
chr7 66040457 66223832 64554842 66725260 ww-wc ERR2268502_.trimmed.mdup.bam.RData.14
chr8 7512615 8181499 6879121 8376579 wc-ww ERR2268502_.trimmed.mdup.bam.RData.15
chr8 12545641 12728805 11689904 13208093 ww-wc ERR2268502_.trimmed.mdup.bam.RData.16
chr8 58990608 59145438 58894446 59489421 wc-ww ERR2268502_.trimmed.mdup.bam.RData.17
chr9 94975541 95003884 94601311 95552387 wc-ww ERR2268502_.trimmed.mdup.bam.RData.18
chr9 123395859 123411906 123328461 123823615 ww-wc ERR2268502_.trimmed.mdup.bam.RData.19
chr12 32700154 33853561 32467136 133252007 ww-wc ERR2268502_.trimmed.mdup.bam.RData.20
chr12 36990477 37280754 34717096 37434792 wc-ww ERR2268502_.trimmed.mdup.bam.RData.21
chr18 59049106 59173639 58714410 59745621 ww-wc ERR2268502_.trimmed.mdup.bam.RData.22
chr21 14593341 14601147 9021243 14768433 wc-cc ERR2268502_.trimmed.mdup.bam.RData.23
chr4 180005896 180062260 179778260 181723689 wc-ww ERR2268503_.trimmed.mdup.bam.RData.1
chr4 183125762 183295136 182396319 183387408 ww-wc ERR2268503_.trimmed.mdup.bam.RData.2
chr7 6703181 7071670 6168908 7561081 cc-wc ERR2268503_.trimmed.mdup.bam.RData.3
