seqnames start end CI.start CI.end genoT filenames
chr1 19995475 19999392 19918853 20030776 wc-ww ERR2265692.mdup.bam.RData.1
chr1 116970939 116993370 116938814 117019826 ww-wc ERR2265692.mdup.bam.RData.2
chr1 200946032 200949760 200910409 200981365 wc-cc ERR2265692.mdup.bam.RData.3
chr2 11281429 11384326 11258318 11430796 wc-cc ERR2265692.mdup.bam.RData.4
chr2 124784831 124825255 124742886 124846589 cc-wc ERR2265692.mdup.bam.RData.5
chr2 219576713 219582335 219535380 219619346 wc-cc ERR2265692.mdup.bam.RData.6
chr3 41121142 41148582 41093249 41174028 wc-cc ERR2265692.mdup.bam.RData.7
chr3 116237843 116240381 116162099 116267444 cc-wc ERR2265692.mdup.bam.RData.8
chr4 21908518 21923923 21798126 21959122 wc-cc ERR2265692.mdup.bam.RData.9
chr5 99657412 99680097 99608468 99900321 cc-wc ERR2265692.mdup.bam.RData.10
chr7 125396376 125438150 125350384 125477572 wc-cc ERR2265692.mdup.bam.RData.11
chr7 143384758 143396662 143356167 143451681 cc-wc ERR2265692.mdup.bam.RData.12
chr8 6754067 6766086 6720405 8291374 wc-ww ERR2265692.mdup.bam.RData.13
chr8 12946806 12952644 11882794 12968326 ww-wc ERR2265692.mdup.bam.RData.14
chr8 52401144 52406897 52370256 52464629 wc-ww ERR2265692.mdup.bam.RData.15
chr10 117955689 117968692 117855134 117997098 cc-wc ERR2265692.mdup.bam.RData.16
chr10 124870366 124935411 124743578 125008382 wc-ww ERR2265692.mdup.bam.RData.17
chr15 89357791 89358367 89326270 89369893 ww-wc ERR2265692.mdup.bam.RData.18
chr16 30572134 30760238 30549335 34589537 ww-wc ERR2265692.mdup.bam.RData.19
chr16 46401637 46691862 46399798 46741228 wc-ww ERR2265692.mdup.bam.RData.20
chr17 68100393 68237382 68050264 68287080 cc-wc ERR2265692.mdup.bam.RData.21
chr20 18381710 18413472 18331997 18514926 ww-wc ERR2265692.mdup.bam.RData.22
chrX 30455605 30522355 30405384 30561164 wc-cc ERR2265692.mdup.bam.RData.23
chr1 166934055 166941023 166916498 167178699 wc-cc ERR2265693.mdup.bam.RData.1
chr1 176332946 176540649 175684553 176657875 cc-wc ERR2265693.mdup.bam.RData.2
chr2 229735294 229740126 229675798 229893842 ww-wc ERR2265693.mdup.bam.RData.3
chr3 48558711 48598370 48433460 48676291 wc-cc ERR2265693.mdup.bam.RData.4
chr3 65269348 65281765 65237112 65381607 cc-wc ERR2265693.mdup.bam.RData.5
chr4 51107467 51208686 49657596 51864707 wc-cc ERR2265693.mdup.bam.RData.6
chr8 37083583 37129376 37040798 37217264 cc-wc ERR2265693.mdup.bam.RData.7
chr9 39533387 39541221 38723913 41019341 ww-wc ERR2265693.mdup.bam.RData.8
chr12 28067706 28110552 28040887 28222790 wc-cc ERR2265693.mdup.bam.RData.9
chr14 67531190 67562382 67477556 67598199 cc-wc ERR2265693.mdup.bam.RData.10
chr17 29527554 29578094 29249183 29620389 wc-cc ERR2265693.mdup.bam.RData.11
chrX 68941463 68999089 68888650 69073527 ww-wc ERR2265693.mdup.bam.RData.12
chr1 169590555 169607874 169508428 169727763 ww-wc ERR2265694.mdup.bam.RData.1
chr2 230495243 230499175 230371357 230581918 wc-cc ERR2265694.mdup.bam.RData.2
chr3 170093365 170223227 169915004 170372731 ww-wc ERR2265694.mdup.bam.RData.3
chr6 113916514 113970525 113843200 113987587 cc-wc ERR2265694.mdup.bam.RData.4
chr8 93046079 93082636 92928269 93119117 wc-ww ERR2265694.mdup.bam.RData.5
chr8 93153749 93172816 75796296 93266531 ww-wc ERR2265694.mdup.bam.RData.6
chr8 94319720 94373288 94273508 94471079 wc-ww ERR2265694.mdup.bam.RData.7
chr11 105112532 105198564 105075171 105340574 cc-wc ERR2265694.mdup.bam.RData.8
chr13 64398255 64428602 64158550 64604503 wc-ww ERR2265694.mdup.bam.RData.9
chr15 43306513 43309315 41287349 43505756 cc-wc ERR2265694.mdup.bam.RData.10
chr17 67218484 67374870 67078760 67526384 ww-wc ERR2265694.mdup.bam.RData.11
chr18 72040461 72124406 71983844 74904778 cc-wc ERR2265694.mdup.bam.RData.12
chr20 11440670 11460216 7147296 11551641 wc-cc ERR2265694.mdup.bam.RData.13
chr21 31795003 31829219 31768575 31891999 wc-cc ERR2265694.mdup.bam.RData.14
chrX 55015657 55025076 54825737 55100612 wc-cc ERR2265694.mdup.bam.RData.15
chr1 146048871 146172811 145993779 146751412 cc-wc ERR2265695.mdup.bam.RData.1
chr1 165461781 165501735 165429827 165544901 wc-ww ERR2265695.mdup.bam.RData.2
chr2 41190649 41212620 41141240 41226956 cc-wc ERR2265695.mdup.bam.RData.3
chr2 64438435 64463101 64398771 64493355 wc-ww ERR2265695.mdup.bam.RData.4
chr3 52594646 52604246 52526507 52774183 wc-ww ERR2265695.mdup.bam.RData.5
chr3 149582892 149679222 149458331 149726181 ww-wc ERR2265695.mdup.bam.RData.6
chr3 158112165 158149759 158051898 158260546 wc-ww ERR2265695.mdup.bam.RData.7
chr7 47320851 47322924 47277142 47348870 wc-cc ERR2265695.mdup.bam.RData.8
chr8 6834975 6840794 6813918 8331804 wc-ww ERR2265695.mdup.bam.RData.9
chr8 12571755 12575377 11963442 12601504 ww-wc ERR2265695.mdup.bam.RData.10
chr9 33593354 33619173 33540874 33666825 cc-wc ERR2265695.mdup.bam.RData.11
chr9 92033022 92033825 91931493 92058042 wc-ww ERR2265695.mdup.bam.RData.12
chr10 125002625 125004145 124866561 125038870 wc-cc ERR2265695.mdup.bam.RData.13
chr11 122083528 122094076 122057938 122127943 ww-wc ERR2265695.mdup.bam.RData.14
chr12 24532223 24590115 24436167 24711979 cc-wc ERR2265695.mdup.bam.RData.15
chr16 46401633 46404584 46400845 46691761 cc-wc ERR2265695.mdup.bam.RData.16
chr20 58630588 58683265 58573956 61851390 cc-wc ERR2265695.mdup.bam.RData.17
chrX 106119777 106156229 106069747 106259155 ww-wc ERR2265695.mdup.bam.RData.18
chrX 108637796 108642237 108361835 156006647 wc-ww ERR2265695.mdup.bam.RData.19
chrX 108742697 108747771 108662449 108868006 ww-wc ERR2265695.mdup.bam.RData.20
chr1 148660484 148689859 147908718 149102460 wc-cc ERR2265696.mdup.bam.RData.1
chr2 216753459 216803468 216729857 216866884 wc-cc ERR2265696.mdup.bam.RData.2
chr2 228089327 228188057 228065010 228372184 cc-wc ERR2265696.mdup.bam.RData.3
chr4 33915809 34156209 33702908 34489207 wc-ww ERR2265696.mdup.bam.RData.4
chr4 115415812 115767097 115311040 116000717 ww-wc ERR2265696.mdup.bam.RData.5
chr7 74277897 74400479 74034116 74486710 wc-ww ERR2265696.mdup.bam.RData.6
chr8 12029275 12131562 11977015 12653551 cc-wc ERR2265696.mdup.bam.RData.7
chr11 58752274 58866355 58663191 58916237 wc-cc ERR2265696.mdup.bam.RData.8
chr14 68976622 68984062 68933581 69049761 wc-ww ERR2265696.mdup.bam.RData.9
chr1 25284636 25348710 25217220 25410621 ww-wc ERR2265697.mdup.bam.RData.1
chr1 54002839 54006039 53930518 54013777 wc-cc ERR2265697.mdup.bam.RData.2
chr1 93062221 93113401 93025715 93199135 cc-wc ERR2265697.mdup.bam.RData.3
chr1 225408166 225429473 225367761 225467936 wc-ww ERR2265697.mdup.bam.RData.4
chr2 106120410 106121072 106084967 106158253 cc-wc ERR2265697.mdup.bam.RData.5
chr2 107723243 107739443 107686362 107787537 wc-ww ERR2265697.mdup.bam.RData.6
chr3 91533242 91610267 91447224 92097030 cc-wc ERR2265697.mdup.bam.RData.7
chr3 178450485 178489609 178409824 178556253 wc-ww ERR2265697.mdup.bam.RData.8
chr4 41300229 41308477 41259961 41338480 wc-cc ERR2265697.mdup.bam.RData.9
chr5 31315373 31319567 31193022 31361346 wc-cc ERR2265697.mdup.bam.RData.10
chr5 61770914 61779142 61755306 61789036 cc-wc ERR2265697.mdup.bam.RData.11
chr6 39813746 39822391 39772556 39875580 cc-wc ERR2265697.mdup.bam.RData.12
chr6 102363563 102364054 102313240 102415105 wc-ww ERR2265697.mdup.bam.RData.13
chr7 23223150 23235505 23144175 23249950 wc-ww ERR2265697.mdup.bam.RData.14
chr8 7312133 7349168 7147048 7878483 cc-wc ERR2265697.mdup.bam.RData.15
chr9 35962830 35974036 35925164 36162413 wc-cc ERR2265697.mdup.bam.RData.16
chr9 86024122 86029902 85984623 86041402 cc-wc ERR2265697.mdup.bam.RData.17
